"id","date","time","long","lat","depth","mag","src"
"6605","1906-01-31","15:36:00","-79.36","0.95","20","8.35","CENTENNIAL"
"6586","1933-10-02","15:29:30","-80.84","-1.83","15","6.7","CENTENNIAL"
"6585","1933-10-03","10:21:20","-80.75","-1.75","35","6.2","ISC"
"6584","1933-10-03","14:21:49","-80.75","-1.75","35","6","ISC"
"6566","1942-05-14","02:13:28","-80.39","0.01","19.7","7.8","CENTENNIAL"
"6549","1957-08-26","13:58:51","-80.99","-1.92","15","6.34","ISC"
"6548","1958-01-19","14:07:27","-79.59","1.14","29.8","7.8","CENTENNIAL"
"6547","1958-01-19","14:43:30","-79.58","1.18","35","6.8","CENTENNIAL"
"6544","1958-04-14","21:32:35","-79.57","0.7","35","6.8","CENTENNIAL"
"6543","1958-04-14","22:48:32","-79.82","0.82","0","6.6","ISC"
"6542","1958-04-15","01:30:47","-79.62","0.94","0","6.6","ISC"
"6528","1963-05-14","11:23:02","-80.2","0.7","25","4.4","USGS-NEIC"
"6526","1963-05-23","03:57:44","-80.8","-1.6","90","4.6","USGS-NEIC"
"6513","1963-08-20","20:14:31","-80.9","0","64","4.2","USGS-NEIC"
"6440","1964-08-14","19:25:34","-80.04","0.27","70","4.3","ISC"
"6412","1965-01-26","13:48:44","-80.9","-0.66","158","3.9","ISC"
"6411","1965-01-26","14:17:53","-80.75","-0.41","81","4.5","ISC"
"6403","1965-03-14","15:30:37","-80.8","-0.4","33","4.1","USGS-NEIC"
"6396","1965-04-18","12:23:10","-79.7","1.22","114","3.9","ISC"
"6388","1965-06-06","21:41:40","-80.6","-1.37","75","4.2","ISC"
"6367","1965-09-27","03:15:58","-80.6","-1.46","116","4.2","ISC"
"6364","1965-10-12","15:10:47","-80.9","-1.4","33","4.4","USGS-NEIC"
"6363","1965-10-23","16:00:45","-81","-1.6","152","4.2","USGS-NEIC"
"6362","1965-10-25","11:17:27","-81","-1.1","33","4.3","USGS-NEIC"
"6337","1966-02-20","10:51:24","-80.3","-1.13","133","4.2","ISC"
"6318","1966-06-16","12:27:52","-80.5","-1.55","51","4.1","ISC"
"6305","1966-09-10","16:13:50","-80.9","-0.2","63","4.3","ISC"
"6289","1966-12-08","11:34:30","-80.6","-1.58","98","4.4","ISC"
"6253","1967-04-18","09:48:49","-80.96","-1.28","43","4.4","ISC"
"6251","1967-04-19","06:26:57","-80.93","-1.09","39","4.5","ISC"
"6217","1967-10-14","01:07:15","-80.4","-1.11","82","4.1","ISC"
"6209","1967-11-15","18:37:32","-81","-1.97","30.1","4.7","ISC"
"6199","1968-02-23","09:10:05","-80","0.2","132","3.9","ISC"
"6186","1968-04-23","13:48:43","-80.4","-1.01","78","4.4","ISC"
"6185","1968-04-24","02:54:20","-80.32","-1.03","59","4.3","ISC"
"6178","1968-05-27","21:32:04","-80.88","0.31","18","4.2","USGS-NEIC"
"6173","1968-06-05","13:42:20","-80.4","0.9","33","4.1","ISC"
"6041","1969-05-20","13:04:56","-80.4","-0.99","61","4.3","ISC"
"5994","1970-04-07","12:41:35","-80.8","-0.2","76","4.4","ISC"
"5983","1970-06-21","21:11:54","-80.6","-1.57","54","4.6","ISC"
"5978","1970-08-13","23:40:07","-80.5","-0.93","44","4","ISC"
